"AppId","AppDisplayName","AppOwnerOrganizationId","Source"
"7dd7250c-c317-4bc6-8528-8d27b02707ef","ZTNA Data Acquisition - PROD","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"cb43afba-eb6b-4cef-bf00-758b6c233beb","Azure OSSRDBMS MySQL Flexible Server BYOK","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"b4bddae8-ab25-483e-8670-df09b9f1d0ea","Signup","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"9e4a5442-a5c9-4f6f-b03f-5b9fcaaf24b1","OfficeServicesManager","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"cedebc57-38a2-4f0a-8472-dfcbba5b04c6","M365 Compliance Drive","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"408992c7-2af6-4ff1-92e3-65b73d2b5092","Azure Search Management","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"56c1da01-2129-48f7-9355-af6d59d42766","Graph Connector Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"359431ad-ece5-496b-8768-be4bbfd82f36","ECP Billing Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"c9a559d2-7aab-4f13-a6ed-e7e9c52aec87","Microsoft Forms","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"61c50b89-703d-431d-8d80-1e8618748775","Azure Machine Learning OpenAI","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"a4c95b9e-3994-40cc-8953-5dc66d48348d","Microsoft Container Registry","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"7cd684f4-8a78-49b0-91ec-6a35d38739ba","Azure Logic Apps","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"8338dec2-e1b3-48f7-8438-20c30a534458","ViewPoint","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"9d8f559b-5984-46a4-902a-ad4271e83efa","Power Virtual Agents Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"0af06dc6-e4b5-4f28-818e-e78e62d137a5","Windows 365","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"9e133cac-5238-4d1e-aaa0-d8ff4ca23f4e","Conferencing Virtual Assistant","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"38808189-fa7a-4d8a-807f-eba01edacca6","AzNet Security Guard","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"049d4938-2ef2-4274-aa8f-630fc9bc33d1","Microsoft.Blockchain","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"c495cfdc-814f-46a1-89f0-657921c9fbe0","Azure AD Identity Governance - Dynamics 365 Management","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"3e36f539-fc2c-479c-90fb-3cfa21da3a4b","Power Platform Environment Discovery Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"2220bbc4-4518-4fef-aac6-c6f32e9f9fd1","Customer Experience Platform PROD","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"f53895d3-095d-408f-8e93-8f94b391404e","Portfolios","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"167e2ded-f32d-49f5-8a10-308b921bc7ee","OCaaS Worker Services","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"0000001b-0000-0000-c000-000000000000","Microsoft Power BI Information Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"ea62c1c6-550b-4238-8ea7-c55a85d86be8","Teams Work Report","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"5ebe1e69-13dd-4953-84fa-a74ed591db2e","Microsoft Arcadia Spark Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
